City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,kavaratti,10.5669,72.642,26.35,79,86,2.83,IN,1675375286
199,hervey bay,-25.2986,152.8535,26.1,83,52,1.84,AU,1675375220
200,ternate,0.8,127.4,25.22,83,100,2.78,ID,1675375538
201,zhanaozen,43.3,52.8,2.48,87,100,4.01,KZ,1675375539
202,yumen,40.2833,97.2,-6.63,41,17,1.14,CN,1675375405
203,pitimbu,-7.4706,-34.8086,28.33,72,7,5.55,BR,1675375539
204,zyryanka,65.75,150.85,-34.59,100,95,1.08,RU,1675375539
205,chuy,-33.6971,-53.4616,20.32,92,100,6.16,UY,1675375290
206,glencoe,-28.1783,30.147,16.43,95,94,0.73,ZA,1675375540
207,nador,35.174,-2.9287,12.14,100,75,2.06,MA,1675375540
208,klaksvik,62.2266,-6.589,5.51,87,100,16.11,FO,1675375289
209,luderitz,-26.6481,15.1594,18.04,65,6,8.86,NA,1675375241
210,lavrentiya,65.5833,-171.0,-18.1,93,12,3.51,RU,1675375340
211,kwinana,-32.25,115.7667,18.99,70,1,1.34,AU,1675375540
212,cervo,43.6702,-7.4101,9.42,83,15,5.54,ES,1675375541
213,tigil,57.8,158.6667,-27.66,100,95,0.98,RU,1675375398
214,kargil,34.5667,76.1,-17.2,97,97,1.19,IN,1675375541
215,alihe,50.5667,123.7167,-29.9,98,35,1.62,CN,1675375350
216,tres arroyos,-38.3739,-60.2798,23.55,54,69,4.66,AR,1675375541
217,broken hill,-31.95,141.4333,15.35,42,2,8.97,AU,1675375542
218,alice springs,-23.7,133.8833,16.75,72,0,1.54,AU,1675375250
219,mount isa,-20.7333,139.5,23.87,50,36,4.12,AU,1675375257
220,bandarbeyla,9.4942,50.8122,23.7,69,6,6.89,SO,1675375542
221,sioux lookout,50.1001,-91.917,-25.96,53,20,8.23,CA,1675375542
222,klang,3.0333,101.45,25.48,88,20,1.03,MY,1675375542
223,tres picos,15.8667,-93.5333,30.81,54,5,3.09,MX,1675375543
224,nchelenge,-9.3451,28.734,21.56,84,95,2.08,ZM,1675375543
225,ketchikan,55.3422,-131.6461,5.99,93,100,8.23,US,1675375544
226,dingle,10.9995,122.6711,23.35,94,86,3.95,PH,1675375306
227,severo-kurilsk,50.6789,156.125,-2.75,93,100,21.93,RU,1675375328
228,mahebourg,-20.4081,57.7,25.7,88,40,1.54,MU,1675375296
229,vicuna,-30.0319,-70.7081,29.87,40,0,3.57,CL,1675375542
230,iskateley,67.6803,53.1512,-12.6,96,67,3.8,RU,1675375544
231,agapovka,53.2973,59.1348,-19.44,98,21,0.61,RU,1675375544
232,north myrtle beach,33.816,-78.68,7.29,95,100,1.54,US,1675375544
233,khatanga,71.9667,102.5,-36.13,100,53,0.76,RU,1675375184
234,kavali,14.9167,79.9833,23.2,79,8,2.66,IN,1675375545
235,plouzane,48.3833,-4.6167,9.03,87,100,1.54,FR,1675375545
236,yeppoon,-23.1333,150.7333,27.88,74,81,2.18,AU,1675375416
237,alyangula,-13.8483,136.4192,27.79,81,100,6.8,AU,1675375239
238,dikson,73.5069,80.5464,-15.94,91,100,2.92,RU,1675375232
239,grass valley,39.2191,-121.0611,15.25,30,0,1.79,US,1675375546
240,hofn,64.2539,-15.2082,3.69,81,78,9.38,IS,1675375546
241,tilichiki,60.4667,166.1,-23.1,98,71,3.9,RU,1675375546
242,hongjiang,27.11,109.9956,5.43,82,100,1.48,CN,1675375547
243,pisco,-13.7,-76.2167,26.03,69,0,9.77,PE,1675375374
244,teluknaga,-6.0989,106.6381,27.88,100,75,6.17,ID,1675375297
245,henties bay,-22.116,14.2845,17.71,88,85,1.86,NA,1675375547
246,coquimbo,-29.9533,-71.3436,19.85,72,40,6.17,CL,1675374995
247,kineshma,57.4391,42.1289,-3.4,95,100,3.11,RU,1675375547
248,saint george,37.1041,-113.5841,13.57,30,0,1.34,US,1675374942
249,calvia,39.5657,2.5062,6.71,70,0,2.28,ES,1675375548
250,phan thiet,10.9333,108.1,22.84,86,94,3.39,VN,1675375548
251,lasa,46.6166,10.7002,1.31,94,73,3.54,IT,1675375548
252,mantua,45.1667,10.7833,7.81,78,0,2.68,IT,1675375549
253,zhizdra,53.746,34.7395,-1.76,96,95,3.15,RU,1675375549
254,avarua,-21.2078,-159.775,28.03,83,75,5.14,CK,1675375191
255,richards bay,-28.783,32.0377,23.49,91,100,1.71,ZA,1675375549
256,narsaq,60.9167,-46.05,-10.88,97,70,3.15,GL,1675375469
257,carnarvon,-24.8667,113.6333,27.89,60,24,1.88,AU,1675375287
258,jieshou,33.2634,115.3611,-0.6,50,63,0.19,CN,1675375549
259,benalla,-36.55,145.9833,10.48,74,79,5.86,AU,1675375550
260,lebu,-37.6167,-73.65,16.75,75,0,11.02,CL,1675375037
261,kibala,9.1104,18.3463,26.97,26,0,2.06,TD,1675375550
262,maryville,35.7565,-83.9705,6.49,97,100,2.68,US,1675375386
263,fukue,32.6881,128.8419,9.62,61,91,5.67,JP,1675375550
